n,index,H_before,H_after,IG,candidates
51,1,3.0860,2.7010,+0.3844,30
51,2,2.9380,2.7560,+0.1818,19
51,3,2.7560,2.6760,+0.0807,19
51,4,2.7260,2.6940,+0.0324,16
51,5,2.6940,2.1060,+0.5876,16
51,6,2.1060,2.6510,-0.5445,16
51,7,2.7670,2.6840,+0.0831,17
51,8,2.6840,2.7670,-0.0831,17
51,9,2.7670,2.2550,+0.5119,17
51,10,2.7600,2.2160,+0.5441,17
51,11,2.2160,2.7260,-0.5098,17
51,12,2.7260,2.6670,+0.0587,17
51,13,2.7680,2.2510,+0.5168,17
51,14,2.2510,1.5790,+0.6725,17
51,15,1.5790,2.2510,-0.6725,17
51,16,0.0840,0.0250,+0.0583,17
51,17,0.0250,0.0250,+0.0006,17
51,18,0.0250,0.0790,-0.0545,17
51,19,0.0840,0.4410,-0.3573,17
51,20,0.4410,1.7050,-1.2641,17
51,21,1.7050,2.6100,-0.9053,17
51,22,2.8220,2.2820,+0.5403,17
51,23,2.2820,2.3270,-0.0454,17
51,24,2.3270,1.5150,+0.8117,17
51,25,2.6720,1.8130,+0.8584,16
51,26,1.8130,1.8930,-0.0801,16
51,27,1.8930,2.6550,-0.7619,16
51,28,2.7060,2.6120,+0.0941,16
51,29,2.6120,2.6600,-0.0482,16
51,30,2.6600,2.6110,+0.0499,16
51,31,2.7130,2.5800,+0.1331,16
51,32,2.5800,2.5430,+0.0370,16
51,33,2.5430,2.5360,+0.0071,16
51,34,2.7020,2.5660,+0.1358,16
51,35,2.5660,2.6580,-0.0920,16
51,36,2.6580,2.5660,+0.0920,16
51,37,2.7020,2.6130,+0.0889,16
51,38,2.6130,2.7020,-0.0890,16
51,39,2.7020,2.6130,+0.0889,16
51,40,2.5330,2.5340,-0.0006,14
51,41,2.5340,2.3070,+0.2270,14
51,42,2.3070,2.3040,+0.0031,14
51,43,0.0820,0.4700,-0.3887,14
51,44,0.4700,0.0760,+0.3941,14
51,45,0.0760,0.4660,-0.3893,14
51,46,0.0820,0.4700,-0.3887,14
51,47,0.4700,0.4660,+0.0048,14
51,48,0.4660,0.0760,+0.3893,14
51,49,0.0820,0.0820,-0.0000,14
51,50,0.0820,0.4700,-0.3887,14
51,51,0.4700,1.7560,-1.2853,14
