n,index,H_before,H_after,IG,candidates
33,1,3.01,3.01,+0.0000,19
33,2,2.8368,2.5598,+0.2771,19
33,3,2.8238,2.2933,+0.5305,14
33,4,2.7192,2.0912,+0.6280,14
33,5,2.5332,1.8721,+0.6610,14
33,6,2.4663,1.7061,+0.7602,14
33,7,2.3921,1.5493,+0.8428,14
33,8,2.186,1.5105,+0.6755,14
33,9,2.1668,1.3546,+0.8122,16
33,10,1.9957,1.209,+0.7867,16
33,11,1.9022,1.0692,+0.8330,16
33,12,1.8328,0.9908,+0.8419,16
33,13,1.7113,0.8962,+0.8150,16
33,14,1.6316,0.757,+0.8746,16
33,15,1.5218,0.6757,+0.8461,16
33,16,1.3765,0.6284,+0.7480,16
33,17,1.2877,0.5281,+0.7596,16
33,18,1.2024,0.4788,+0.7236,14
33,19,1.1426,0.4545,+0.6880,14
33,20,1.0291,0.3723,+0.6568,14
33,21,0.9557,0.3406,+0.6151,16
33,22,0.8162,0.2817,+0.5346,16
33,23,0.7341,0.2584,+0.4757,16
33,24,0.6367,0.2189,+0.4178,16
33,25,0.5493,0.1964,+0.3529,16
33,26,0.4821,0.1858,+0.2963,16
33,27,0.4129,0.131,+0.2818,14
33,28,0.34,0.117,+0.2230,14
33,29,0.2536,0.0851,+0.1684,14
33,30,0.186,0.0527,+0.1333,16
33,31,0.0994,0.0379,+0.0615,16
33,32,0.0446,0.0128,+0.0318,16
